VehicleID,TimeStamp,Lattitude,Longitude,VehicleBearing,Speed,RoadId,DirOfTravel
0eb594138499b09d1e3a055491c5ebdf,1514769573,41.74994,-88.06387,269,12,1335864828,-1335864828
67fde9d4-ac89-534a-b761-c7d7c5b46eeb,1514771444,41.74986,-88.065755,267,50,5781502785,-5781502785
67fde9d4-ac89-534a-b761-c7d7c5b46eeb,1514771443,41.74986,-88.065556,267,50,5781502785,-5781502785
67fde9d4-ac89-534a-b761-c7d7c5b46eeb,1514771434,41.749896,-88.064027,267,38,7419044380,-7419044380
67fde9d4-ac89-534a-b761-c7d7c5b46eeb,1514771445,41.749859,-88.065953,267,51,5781502785,-5781502785
67fde9d4-ac89-534a-b761-c7d7c5b46eeb,1514771433,41.749902,-88.06389,267,35,1335864828,-1335864828
67fde9d4-ac89-534a-b761-c7d7c5b46eeb,1514771430,41.749918,-88.063553,268,19,1335864828,-1335864828
67fde9d4-ac89-534a-b761-c7d7c5b46eeb,1514771451,41.749852,-88.067306,267,61,8460193543,-8460193543
67fde9d4-ac89-534a-b761-c7d7c5b46eeb,1514771431,41.749913,-88.063645,267,25,1335864828,-1335864828
67fde9d4-ac89-534a-b761-c7d7c5b46eeb,1514771435,41.749891,-88.064174,267,39,7419044380,-7419044380
67fde9d4-ac89-534a-b761-c7d7c5b46eeb,1514771436,41.749883,-88.064322,267,39,7419044380,-7419044380
67fde9d4-ac89-534a-b761-c7d7c5b46eeb,1514771442,41.749862,-88.065362,267,50,5781502785,-5781502785
67fde9d4-ac89-534a-b761-c7d7c5b46eeb,1514771446,41.749855,-88.06616,267,53,5781502785,-5781502785
67fde9d4-ac89-534a-b761-c7d7c5b46eeb,1514771450,41.749854,-88.067067,267,60,8460193543,-8460193543
67fde9d4-ac89-534a-b761-c7d7c5b46eeb,1514771441,41.749865,-88.065164,267,48,5781502785,-5781502785
67fde9d4-ac89-534a-b761-c7d7c5b46eeb,1514771437,41.749878,-88.064476,267,40,7419044380,-7419044380
67fde9d4-ac89-534a-b761-c7d7c5b46eeb,1514771453,41.749845,-88.0678,267,62,8460193543,-8460193543
67fde9d4-ac89-534a-b761-c7d7c5b46eeb,1514771455,41.749843,-88.068276,267,61,8460193543,-8460193543
67fde9d4-ac89-534a-b761-c7d7c5b46eeb,1514771395,41.749933,-88.062945,265,37,1335864828,-1335864828
67fde9d4-ac89-534a-b761-c7d7c5b46eeb,1514771456,41.749837,-88.068505,267,59,8460193543,-8460193543
67fde9d4-ac89-534a-b761-c7d7c5b46eeb,1514771394,41.749943,-88.062845,265,41,1335864828,-1335864828
67fde9d4-ac89-534a-b761-c7d7c5b46eeb,1514771396,41.749931,-88.063048,265,35,1335864828,-1335864828
002121b5f30ac1247844233a40b7eb7d,1514770301,41.75173,-88.06458,174,78,5326884952,-5326884952
002121b5f30ac1247844233a40b7eb7d,1514770311,41.74987,-88.06403,161,77,427809022,-427809022
002121b5f30ac1247844233a40b7eb7d,1514770306,41.75078,-88.06437,168,76,5326884951,-5326884951
002121b5f30ac1247844233a40b7eb7d,1514770321,41.74811,-88.06311,164,71,428519089,-428519089
